checkpoint,checkpoint_name,variant,meta_acc,parent_acc,meta_acc_top5,parent_acc_top5,num_samples,stage0_checkpoint,encoder_model,eval_type,stage,ablation_mode,median_error_km,mean_error_km,cell_acc,acc_street,acc_city,acc_region,acc_country,stage1_checkpoint,dataset
results/stage2_cross_attention_both/2025-12-25_09-13-54/checkpoints/best_model_stage2_xattn.pt,best_model_stage2_xattn.pt,finetuned,,,,,,/scratch-shared/pnair/Project_AI/results/stage0-prototype/geolocal_StreetCLIP/2025-12-24_09-29-59/checkpoints/best_model_stage0.pt,,test_split,2,both,126.02282,684.55457,0.4494485294117647,0.0009293680297397,0.2318773234200743,0.5778345724907064,0.828996282527881,/scratch-shared/pnair/Project_AI/results/stage1-prototype/geolocal_StreetCLIP/2025-12-24_19-10-45/checkpoints/best_model_stage1.pt,
results/stage2_cross_attention_both/vanilla_stage1/2025-12-24_12-23-31/checkpoints/best_model_stage2_xattn.pt,best_model_stage2_xattn.pt,vanilla,,,,,,,,test_split,2,both,133.21938,713.83154,0.4535845588235294,0.0002323420074349,0.2149163568773234,0.5743494423791822,0.8296933085501859,/scratch-shared/pnair/Project_AI/results/stage1-prototype/vanilla_streetclip_no_stage0/2025-12-24_09-29-56/checkpoints/best_model_stage1.pt,
results/stage2_cross_attention_concept_only/2025-12-25_09-13-56/checkpoints/best_model_stage2_xattn.pt,best_model_stage2_xattn.pt,finetuned,,,,,,/scratch-shared/pnair/Project_AI/results/stage0-prototype/geolocal_StreetCLIP/2025-12-24_09-29-59/checkpoints/best_model_stage0.pt,,test_split,2,concept_only,137.00006,688.62274,0.4425551470588235,0.0009293680297397,0.2269981412639405,0.5643587360594795,0.8224907063197026,/scratch-shared/pnair/Project_AI/results/stage1-prototype/geolocal_StreetCLIP/2025-12-24_19-10-45/checkpoints/best_model_stage1.pt,
results/stage2_cross_attention_concept_only/vanilla_stage1/2025-12-24_12-23-31/checkpoints/best_model_stage2_xattn.pt,best_model_stage2_xattn.pt,vanilla,,,,,,,,test_split,2,concept_only,139.02039,745.8924,0.4510569852941176,0.0006970260223048,0.1951672862453531,0.5659851301115242,0.8236524163568774,/scratch-shared/pnair/Project_AI/results/stage1-prototype/vanilla_streetclip_no_stage0/2025-12-24_09-29-56/checkpoints/best_model_stage1.pt,
results/stage2_cross_attention_image_only/2025-12-25_09-13-56/checkpoints/best_model_stage2_xattn.pt,best_model_stage2_xattn.pt,finetuned,,,,,,/scratch-shared/pnair/Project_AI/results/stage0-prototype/geolocal_StreetCLIP/2025-12-24_09-29-59/checkpoints/best_model_stage0.pt,,test_split,2,image_only,153.97816,790.45087,0.4301470588235294,0.0002323420074349,0.2016728624535316,0.5462360594795539,0.8057620817843866,/scratch-shared/pnair/Project_AI/results/stage1-prototype/geolocal_StreetCLIP/2025-12-24_19-10-45/checkpoints/best_model_stage1.pt,
results/stage2_cross_attention_image_only/vanilla_stage1/2025-12-24_12-23-30/checkpoints/best_model_stage2_xattn.pt,best_model_stage2_xattn.pt,vanilla,,,,,,,,test_split,2,image_only,222.03503,1070.538,0.3740808823529412,0.0,0.174953531598513,0.4823420074349442,0.7532527881040892,/scratch-shared/pnair/Project_AI/results/stage1-prototype/vanilla_streetclip_no_stage0/2025-12-24_09-29-56/checkpoints/best_model_stage1.pt,
/scratch-shared/pnair/Project_AI/results/stage2_cross_attention_both/2025-12-25_09-13-54/checkpoints/best_model_stage2_xattn.pt,best_model_stage2_xattn.pt,finetuned,,,,,,/scratch-shared/pnair/Project_AI/results/stage0-prototype/geolocal_StreetCLIP/2025-12-24_09-29-59/checkpoints/best_model_stage0.pt,,hf_dataset,2,both,349.926940917969,1616.85815429688,0.264898255813953,0.0,0.034136546184739,0.360350492880613,0.688389923329682,/scratch-shared/pnair/Project_AI/results/stage1-prototype/geolocal_StreetCLIP/2025-12-24_19-10-45/checkpoints/best_model_stage1.pt,hf_geoguessr_locations
/scratch-shared/pnair/Project_AI/results/stage2_cross_attention_both/vanilla_stage1/2025-12-24_12-23-31/checkpoints/best_model_stage2_xattn.pt,best_model_stage2_xattn.pt,vanilla,,,,,,,,hf_dataset,2,both,391.509796142578,1643.69494628906,0.234435562044382,0.0,0.0324936108068638,0.323475721066082,0.672690763052209,/scratch-shared/pnair/Project_AI/results/stage1-prototype/vanilla_streetclip_no_stage0/2025-12-24_09-29-56/checkpoints/best_model_stage1.pt,hf_geoguessr_locations
/scratch-shared/pnair/Project_AI/results/stage2_cross_attention_concept_only/2025-12-25_09-13-56/checkpoints/best_model_stage2_xattn.pt,best_model_stage2_xattn.pt,finetuned,,,,,,/scratch-shared/pnair/Project_AI/results/stage0-prototype/geolocal_StreetCLIP/2025-12-24_09-29-59/checkpoints/best_model_stage0.pt,,hf_dataset,2,concept_only,381.836669921875,1670.1591796875,0.254542151162791,0.0001825483753194,0.0323110624315444,0.340087623220153,0.664658634538153,/scratch-shared/pnair/Project_AI/results/stage1-prototype/geolocal_StreetCLIP/2025-12-24_19-10-45/checkpoints/best_model_stage1.pt,hf_geoguessr_locations
/scratch-shared/pnair/Project_AI/results/stage2_cross_attention_concept_only/vanilla_stage1/2025-12-24_12-23-31/checkpoints/best_model_stage2_xattn.pt,best_model_stage2_xattn.pt,vanilla,,,,,,,,hf_dataset,2,concept_only,417.556884765625,1788.80212402344,0.221838662790698,0.0,0.0332238043081417,0.309602044541804,0.643848119751734,/scratch-shared/pnair/Project_AI/results/stage1-prototype/vanilla_streetclip_no_stage0/2025-12-24_09-29-56/checkpoints/best_model_stage1.pt,hf_geoguessr_locations
