round,timestamp,predicted_lat,predicted_lng,true_lat,true_lng,distance_km,score,stage1_checkpoint,stage2_checkpoint,model,human_distance_km,human_score
1,2025-12-28T16:06:41.895530,48.229836,-2.084824,46.475918,4.493948,532.37,3499,,,main,233.00,4278
1,2025-12-28T16:06:45.250158,44.675583,3.170413,46.475918,4.493948,225.13,4300,,,baseline,233.00,4278
2,2025-12-28T16:07:25.080852,35.377014,-117.560234,32.932159,-117.154205,274.41,4160,,,main,3642.00,435
2,2025-12-28T16:07:28.563379,32.648266,-117.060867,32.932159,-117.154205,32.75,4891,,,baseline,3642.00,435
3,2025-12-28T16:08:14.936900,-12.066075,-76.984344,-17.364885,-66.183723,1301.92,2089,,,main,236.00,4268
3,2025-12-28T16:08:18.255957,40.466671,19.489719,-17.364885,-66.183723,10895.48,3,,,baseline,236.00,4268
4,2025-12-28T16:08:59.798428,-6.553010,-77.874756,40.978951,37.749607,12623.75,1,,,main,1515.00,1811
4,2025-12-28T16:09:03.483593,43.280910,-5.879920,40.978951,37.749607,3566.01,458,,,baseline,1515.00,1811
5,2025-12-28T16:09:54.890693,43.003788,-72.628952,40.850227,-74.274712,275.45,4157,,,main,432.00,3743
5,2025-12-28T16:09:58.452910,40.542709,-74.372482,40.850227,-74.274712,35.17,4883,,,baseline,432.00,3743
