round,timestamp,predicted_lat,predicted_lng,true_lat,true_lng,distance_km,score,stage1_checkpoint,stage2_checkpoint,model
1,2025-12-28T15:04:26.645951,55.984859,-4.367142,55.938637,-3.007750,84.76,4724,,,main
1,2025-12-28T15:04:30.405315,56.188778,-2.999396,55.938637,-3.007750,27.82,4908,,,baseline
2,2025-12-28T15:04:55.244915,53.084064,21.402664,51.189270,11.070012,735.24,3054,,,main
2,2025-12-28T15:04:58.490369,48.125179,17.211971,51.189270,11.070012,557.86,3440,,,baseline
3,2025-12-28T15:05:23.042728,41.548737,1.758743,39.458012,-0.457852,298.59,4093,,,main
3,2025-12-28T15:05:26.058902,38.612629,-1.116904,39.458012,-0.457852,109.89,4645,,,baseline
4,2025-12-28T15:05:50.457951,21.769978,57.846497,25.038813,55.243446,450.16,3698,,,main
4,2025-12-28T15:05:53.197268,26.238832,50.578667,25.038813,55.243446,486.26,3609,,,baseline
5,2025-12-28T15:06:17.693907,36.935291,-98.094421,41.228344,-95.840088,515.45,3539,,,main
5,2025-12-28T15:06:20.841123,38.839420,-104.204918,41.228344,-95.840088,759.70,3005,,,baseline
