round,timestamp,predicted_lat,predicted_lng,true_lat,true_lng,distance_km,score,stage1_checkpoint,stage2_checkpoint,model
1,2025-12-28T14:59:12.579776,39.219284,15.917969,40.454376,9.654158,552.04,3453,,,main
1,2025-12-28T14:59:15.478759,40.048199,-4.270329,40.454376,9.654158,1181.35,2265,,,baseline
2,2025-12-28T14:59:40.365984,39.031860,-122.032372,34.106796,-118.309364,640.52,3255,,,main
2,2025-12-28T14:59:44.009997,34.153187,-117.998734,34.106796,-118.309364,29.05,4904,,,baseline
3,2025-12-28T15:00:08.806046,50.720863,4.915283,49.558960,0.475246,341.72,3976,,,main
3,2025-12-28T15:00:12.035707,51.420078,7.483062,49.558960,0.475246,536.94,3489,,,baseline
4,2025-12-28T15:00:36.941015,37.863667,-89.459503,41.358093,-83.655663,630.75,3276,,,main
4,2025-12-28T15:00:40.218648,42.155258,-88.342438,41.358093,-83.655663,398.68,3827,,,baseline
5,2025-12-28T15:01:05.039306,22.424143,89.949921,24.565153,89.926079,238.08,4262,,,main
5,2025-12-28T15:01:08.367006,24.186810,82.672272,24.565153,89.926079,735.80,3053,,,baseline
