round,timestamp,predicted_lat,predicted_lng,true_lat,true_lng,distance_km,score,stage1_checkpoint,stage2_checkpoint,model,human_distance_km,human_score
1,2025-12-28T16:15:09.242827,52.198483,4.869431,51.836987,4.168549,62.58,4795,,,main,69.00,4775
1,2025-12-28T16:15:12.179918,51.943501,6.013833,51.836987,4.168549,127.18,4591,,,baseline,69.00,4775
2,2025-12-28T16:15:57.376757,55.913277,-4.064270,55.815212,-4.308033,18.72,4938,,,main,302.00,4084
2,2025-12-28T16:16:01.031394,56.027889,-3.790154,55.815212,-4.308033,40.00,4868,,,baseline,302.00,4084
3,2025-12-28T16:17:06.179251,36.293385,-97.527313,39.273609,-76.503044,1872.68,1425,,,main,2204.00,1141
3,2025-12-28T16:17:09.755529,31.257914,-95.991066,39.273609,-76.503044,1975.32,1330,,,baseline,2204.00,1141
4,2025-12-28T16:18:13.029538,22.742149,89.751770,25.798149,88.677452,356.83,3936,,,main,1840.00,1456
4,2025-12-28T16:18:16.247678,16.811771,101.854935,25.798149,88.677452,1689.79,1611,,,baseline,1840.00,1456
5,2025-12-28T16:18:58.910672,-27.405985,-55.889305,-26.175238,28.072773,8153.99,21,,,main,8143.00,21
5,2025-12-28T16:19:02.667156,-22.862593,-47.241211,-26.175238,28.072773,7517.04,32,,,baseline,8143.00,21
