round,timestamp,predicted_lat,predicted_lng,true_lat,true_lng,distance_km,score,stage1_checkpoint,stage2_checkpoint,model,human_distance_km,human_score
1,2025-12-28T16:02:24.709804,32.964195,-112.654037,33.493858,-111.932480,89.29,4709,,,main,810.00,2905
1,2025-12-28T16:02:27.857110,33.600689,-112.282890,33.493858,-111.932480,34.58,4885,,,baseline,810.00,2905
2,2025-12-28T16:03:17.338509,47.909340,5.111084,46.655312,21.057348,1208.74,2224,,,main,1389.00,1971
2,2025-12-28T16:03:20.912781,51.787048,6.003191,46.655312,21.057348,1230.04,2192,,,baseline,1389.00,1971
3,2025-12-28T16:04:03.647240,38.802692,-76.425850,42.143845,-71.171234,579.09,3391,,,main,964.00,2619
3,2025-12-28T16:04:07.121375,41.395958,-73.073959,42.143845,-71.171234,178.36,4437,,,baseline,964.00,2619
4,2025-12-28T16:04:52.878247,43.077835,12.198334,41.854580,12.501275,138.27,4557,,,main,1134.00,2237
4,2025-12-28T16:04:56.393357,41.926453,12.587682,41.854580,12.501275,10.73,4964,,,baseline,1134.00,2237
5,2025-12-28T16:05:38.496749,-28.898664,-52.947128,19.370264,-99.182831,7309.11,37,,,main,15305.00,0
5,2025-12-28T16:05:42.180166,20.670370,-103.355766,19.370264,-99.182831,459.29,3675,,,baseline,15305.00,0
